Url;Nazione;Data rilevata in precedenza;Data dell'ultimo aggiornamento
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Austria;Austria;2024-10-09 09:24:00;|||;2024-10-09 09:24:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Belgium;Belgium;2024-10-18 10:53:00;|||;2024-10-18 10:53:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Bulgaria;Bulgaria;2024-10-18 11:01:00;|||;2024-10-18 11:01:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Croatia;Croatia;2025-05-06 11:27:00;|||;2025-05-06 11:27:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Cyprus;Cyprus;2024-10-18 11:11:00;|||;2024-10-18 11:11:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Czech+Republic;Czech Republic;2024-10-18 11:16:00;|||;2024-10-18 11:16:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Denmark;Denmark;2024-11-22 11:20:00;|||;2024-11-22 11:20:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Estonia;Estonia;2025-01-27 10:35:00;|||;2025-01-27 10:35:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Finland;Finland;2024-07-08 14:28:00;|||;2024-07-08 14:28:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+France;France;2024-10-31 11:42:00;|||;2024-10-31 11:42:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Germany;Germany;2024-11-08 16:26:00;|||;2024-11-08 16:26:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Greece;Greece;2024-10-21 16:23:00;|||;2024-10-21 16:23:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Hungary;Hungary;2024-06-28 18:12:00;|||;2024-06-28 18:12:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Ireland;Ireland;2024-07-08 13:19:00;|||;2024-07-08 13:19:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Italy;Italy;2024-10-07 10:14:00;|||;2024-10-07 10:14:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Latvia;Latvia;2025-01-06 14:20:00;|||;2025-01-06 14:20:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Lithuania;Lithuania;2024-06-28 18:13:00;|||;2024-06-28 18:13:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Luxembourg;Luxembourg;2024-10-18 11:36:00;|||;2024-10-18 11:36:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Malta;Malta;2024-06-28 18:13:00;|||;2024-06-28 18:13:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+The+Netherlands;The Netherlands;2024-10-18 11:49:00;|||;2024-10-18 11:49:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Poland;Poland;2024-06-28 18:14:00;|||;2024-06-28 18:14:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Portugal;Portugal;2024-10-18 11:42:00;|||;2024-10-18 11:42:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Romania;Romania;2024-09-09 17:56:00;|||;2024-09-09 17:56:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Slovakia;Slovakia;2024-06-28 18:15:00;|||;2024-06-28 18:15:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Slovenia;Slovenia;2024-10-18 11:46:00;|||;2024-10-18 11:46:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Spain;Spain;2024-06-28 18:15:00;|||;2024-06-28 18:15:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Sweden;Sweden;2024-06-28 18:15:00;|||;2024-06-28 18:15:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Iceland;Iceland;2024-06-28 18:12:00;|||;2024-06-28 18:12:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Liechtenstein;Liechtenstein;2024-06-28 18:13:00;|||;2024-06-28 18:13:00
https://ec.europa.eu/digital-building-blocks/sites/display/DIGITAL/eInvoicing+in+Norway;Norway;2024-07-08 10:17:00;|||;2024-07-08 10:17:00
https://fnfe-mpe.org/factur-x;FacturX;;|||;2025-05-12T13:33:51_746083bad8bcc13e3287084e0d3ee946588e94eae43e02b2ed105010135f172c_1.000
